"행정구역별(시군구)","성별",2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(시군구)","성별",1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계,1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대주택,주택_비거주용건물내 주택,주택이외의 거처_계
"전라남도","계",235062,220546,150009,60906,3151,2595,3885,14516,238147,223603,148581,65288,3294,2569,3871,14544,256633,239696,156434,72472,3866,2834,4090,16937,274108,255628,161817,82180,4309,3069,4253,18480,283429,264474,163557,88818,4603,3226,4270,18955
"전라남도","남자",106213,97079,63138,28959,1477,1346,2159,9134,108878,99712,63761,31005,1524,1285,2137,9166,120032,109415,69192,34673,1824,1458,2268,10617,129377,117672,72126,39568,2047,1567,2364,11705,134739,122952,73842,42884,2201,1654,2371,11787
"전라남도","여자",128849,123467,86871,31947,1674,1249,1726,5382,129269,123891,84820,34283,1770,1284,1734,5378,136601,130281,87242,37799,2042,1376,1822,6320,144731,137956,89691,42612,2262,1502,1889,6775,148690,141522,89715,45934,2402,1572,1899,7168
"경상북도","계",353702,335085,227401,85697,6679,9814,5494,18617,360213,341766,226612,92686,7031,10055,5382,18447,388791,368027,241062,102562,7565,11029,5809,20764,416697,394611,253085,114838,8252,12328,6108,22086,430969,408006,259033,121114,8744,12919,6196,22963
"경상북도","남자",168782,156902,108757,38212,2738,4407,2788,11880,173198,161536,110235,41265,2860,4461,2715,11662,188127,174916,118295,45734,3012,4917,2958,13211,203647,189559,125968,51486,3349,5598,3158,14088,212684,198169,131427,54048,3604,5864,3226,14515
"경상북도","여자",184920,178183,118644,47485,3941,5407,2706,6737,187015,180230,116377,51421,4171,5594,2667,6785,200664,193111,122767,56828,4553,6112,2851,7553,213050,205052,127117,63352,4903,6730,2950,7998,218285,209837,127606,67066,5140,7055,2970,8448
"경상남도","계",379719,353848,221781,112606,5251,8055,6155,25871,391421,365354,220812,124763,5595,8144,6040,26067,417737,388236,226582,140608,6118,8803,6125,29501,450490,417733,237650,157070,6648,9716,6649,32757,468772,434922,245301,165458,7060,10340,6763,33850
"경상남도","남자",185174,168619,109114,50070,2179,3843,3413,16555,191262,174691,109731,55510,2283,3823,3344,16571,206071,187314,114042,63209,2590,4113,3360,18757,223873,203120,121285,70728,2840,4586,3681,20753,233713,212394,126633,74070,3019,4917,3755,21319
"경상남도","여자",194545,185229,112667,62536,3072,4212,2742,9316,200159,190663,111081,69253,3312,4321,2696,9496,211666,200922,112540,77399,3528,4690,2765,10744,226617,214613,116365,86342,3808,5130,2968,12004,235059,222528,118668,91388,4041,5423,3008,12531
"제주특별자치도","계",73250,64093,37297,13905,4441,6428,2022,9157,75353,65104,36721,14723,4939,6711,2010,10249,81855,70032,38843,16195,5394,7518,2082,11823,88683,76087,41511,17950,6155,8258,2213,12596,92172,79247,42942,18831,6593,8610,2271,12925
"제주특별자치도","남자",37607,32019,19379,6096,2089,3318,1137,5588,38296,32276,19052,6415,2311,3369,1129,6020,41643,34909,20325,7095,2524,3791,1174,6734,44806,37781,21638,7874,2883,4110,1276,7025,46304,39196,22310,8230,3054,4313,1289,7108
"제주특별자치도","여자",35643,32074,17918,7809,2352,3110,885,3569,37057,32828,17669,8308,2628,3342,881,4229,40212,35123,18518,9100,2870,3727,908,5089,43877,38306,19873,10076,3272,4148,937,5571,45868,40051,20632,10601,3539,4297,982,5817
